Region,Province,City_Mun,Storm Name,Category,Days occur,Year, Affected_FAM ,Totally damaged house,Partially damaged house,,Region,,Year,,Region,Province,Municipality,Magnitude,Incident,Year,Affected Population_FAM,Totally House,Partially House,,Cyclone Name,Category,Days cccur,,CYCLONE DATA,,,,,,,EARTHQUAKE DATA,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Calayan,Falcon,Tropical Storm,3 5/6,15/07/2019, -   ,0,,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Bansalan,6.8,Matanao 6.9 EQ,15/12/2019,"6,993","1,936","3,793",,Egay,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Camalaniugan,Falcon,Tropical Storm,3 5/6,15/07/2019, 5 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,City Of Digos (Capital),6.8,Matanao 6.9 EQ,15/12/2019,"3,666",289,925,,Kabayan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Gonzaga,Falcon,Tropical Storm,3 5/6,15/07/2019, 9 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Hagonoy,6.8,Matanao 6.9 EQ,15/12/2019,"9,223",775,"8,091",,Marilyn,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Lal-lo,Falcon,Tropical Storm,3 5/6,15/07/2019, 297 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Kiblawan,6.8,Matanao 6.9 EQ,15/12/2019,"13,938",523,"3,619",,Tropical Storm,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Lasam,Falcon,Tropical Storm,3 5/6,15/07/2019, 8 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Magsaysay,6.8,Matanao 6.9 EQ,15/12/2019,"15,939","2,530","5,244",,Falcon,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Santa Teresita,Falcon,Tropical Storm,3 5/6,15/07/2019, 219 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Malalag,6.8,Matanao 6.9 EQ,15/12/2019,"10,937",111,"2,319",,Hanna,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,Solana,Falcon,Tropical Storm,3 5/6,15/07/2019, 2 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Matanao,6.8,Matanao 6.9 EQ,15/12/2019,"14,477","1,612","8,967",,Ineng,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Abucay,Falcon,Tropical Storm,3 5/6,15/07/2019, 2 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Padada,6.8,Matanao 6.9 EQ,15/12/2019,"7,421",347,"2,964",,Jenny,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,Mariveles,Falcon,Tropical Storm,3 5/6,15/07/2019, 20 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Santa Cruz,6.8,Matanao 6.9 EQ,15/12/2019,661,1,194,,Nimfa,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Lagayan,Falcon,Tropical Storm,3 5/6,15/07/2019, 1 ,0,0,,,,15/07/2019,,REGION XI (DAVAO REGION),Davao Del Sur,Sulop,6.8,Matanao 6.9 EQ,15/12/2019,"3,473",262,"3,196",,Quiel,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Pudtol,Falcon,Tropical Storm,3 5/6,15/07/2019, 2 ,1,1,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Antipas,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,Ramon,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,Santa Marcela,Falcon,Tropical Storm,3 5/6,15/07/2019, 118 ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Arakan,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,Typhoon,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,Sabangan,Falcon,Tropical Storm,3 5/6,15/07/2019, 17 ,0,0,,,,15/07/2019,,REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),Kabacan,6.8,Matanao 6.9 EQ,15/12/2019,0,0,0,,Tisoy,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
